"Name","PowerState","Notes","Guest","NumCpu","CoresPerSocket","MemoryMB","MemoryGB","VMHostId","VMHost","VApp","FolderId","Folder","ResourcePoolId","ResourcePool","HARestartPriority","HAIsolationResponse","DrsAutomationLevel","VMSwapfilePolicy","VMResourceConfiguration","Version","PersistentId","GuestId","UsedSpaceGB","ProvisionedSpaceGB","DatastoreIdList","ExtensionData","CustomFields","Id","Uid","Client"
"lcy-trvca","PoweredOn","","lcy-trvca:Microsoft Windows Server 2008 R2 (64-bit)","4","4","8192","8","HostSystem-host-129681","lcy-esx05.corp.hertshtengroup.com",,"Folder-group-v10890","TRV","ResourcePool-resgroup-1667","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/10240","v9","50101c88-da5d-b33f-63c6-39d56d9a3226","windows7Server64Guest","48.184923334978520870208740234","48.184923901222646236419677734","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-10895","/VIServer=ghfinancials\j.fox@lcy-vcenter:443/VirtualMachine=VirtualMachine-vm-10895/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"lcy-trvcli-hap1","PoweredOn","v3 Template customised by Ansible","lcy-trvcli-hap1:Linux 3.10.0-327.el7.x86_64 CentOS Linux release 7.2.1511 (Core) ","1","1","2048","2","HostSystem-host-129666","lcy-esx06.corp.hertshtengroup.com",,"Folder-group-v24557","RabbitMQ","ResourcePool-resgroup-1667","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/20480","v10","5010301c-8bd2-377a-955f-b936165ca4f2","centos64Guest","12.809230165556073188781738281","52.185207336209714412689208984","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-106809","/VIServer=ghfinancials\j.fox@lcy-vcenter:443/VirtualMachine=VirtualMachine-vm-106809/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"lcy-trvcli-hap2","PoweredOn","v3 Template customised by Ansible","lcy-trvcli-hap2:Linux 3.10.0-327.el7.x86_64 CentOS Linux release 7.2.1511 (Core) ","1","1","2048","2","HostSystem-host-129666","lcy-esx06.corp.hertshtengroup.com",,"Folder-group-v24557","RabbitMQ","ResourcePool-resgroup-1667","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/20480","v10","50104475-c76b-5c27-6f3a-f9cf6742100a","centos64Guest","12.885226851329207420349121094","52.190891521982848644256591797","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-106810","/VIServer=ghfinancials\j.fox@lcy-vcenter:443/VirtualMachine=VirtualMachine-vm-106810/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"lcy-trvliteweb1","PoweredOn","","lcy-trvliteweb1:Microsoft Windows Server 2012 (64-bit)","4","4","8192","8","HostSystem-host-129669","lcy-esx03.corp.hertshtengroup.com",,"Folder-group-v10890","TRV","ResourcePool-resgroup-1667","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/81920","v9","501085d9-3d75-29a4-db5b-e6265f43d6ca","windows8Server64Guest","58.164050738327205181121826172","58.164051316678524017333984375","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-27427","/VIServer=ghfinancials\j.fox@lcy-vcenter:443/VirtualMachine=VirtualMachine-vm-27427/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"lcy-trvsp","PoweredOn","","lcy-trvsp:Microsoft Windows Server 2008 R2 (64-bit)","2","2","16384","16","HostSystem-host-129682","lcy-esx02.corp.hertshtengroup.com",,"Folder-group-v10890","TRV","ResourcePool-resgroup-1667","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/10240","v9","50109692-e423-ebb5-b49a-10063ed50cab","windows7Server64Guest","56.182720584794878959655761719","56.182721151039004325866699219","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-10896","/VIServer=ghfinancials\j.fox@lcy-vcenter:443/VirtualMachine=VirtualMachine-vm-10896/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"lcy-trvsql","PoweredOn","","lcy-trvsql:Microsoft Windows Server 2012 (64-bit)","6","6","8192","8","HostSystem-host-129686","lcy-esx04.corp.hertshtengroup.com",,"Folder-group-v10890","TRV","ResourcePool-resgroup-1667","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/6000 MemShares:Normal/81920","v9","501006fb-3e0c-ae1b-be83-77d81c319876","windows8Server64Guest","120.16544583253562450408935547","120.16544754430651664733886719","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-10891","/VIServer=ghfinancials\j.fox@lcy-vcenter:443/VirtualMachine=VirtualMachine-vm-10891/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"lcy-trvsrv-hap1","PoweredOn","v3 Template customised by Ansible","lcy-trvsrv-hap1:Linux 3.10.0-327.el7.x86_64 CentOS Linux release 7.2.1511 (Core) ","1","1","2048","2","HostSystem-host-129689","lcy-esx01.corp.hertshtengroup.com",,"Folder-group-v24557","RabbitMQ","ResourcePool-resgroup-1667","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/20480","v10","5010fe22-c96d-3659-15d2-4d7d2e1dacdf","centos64Guest","11.026830302551388740539550781","52.185034035705029964447021484","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-106811","/VIServer=ghfinancials\j.fox@lcy-vcenter:443/VirtualMachine=VirtualMachine-vm-106811/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"lcy-trvsrv-hap2","PoweredOn","v3 Template customised by Ansible","lcy-trvsrv-hap2:Linux 3.10.0-327.el7.x86_64 CentOS Linux release 7.2.1511 (Core) ","1","1","2048","2","HostSystem-host-129666","lcy-esx06.corp.hertshtengroup.com",,"Folder-group-v24557","RabbitMQ","ResourcePool-resgroup-1667","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/20480","v10","5010b355-bdce-3edb-dbb8-294049ddc20f","centos64Guest","11.633597981184720993041992188","52.191215776838362216949462891","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-106812","/VIServer=ghfinancials\j.fox@lcy-vcenter:443/VirtualMachine=VirtualMachine-vm-106812/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"lcy-trvst","PoweredOn",,"lcy-trvst:Microsoft Windows Server 2008 R2 (64-bit)","1","1","4096","4","HostSystem-host-129669","lcy-esx03.corp.hertshtengroup.com",,"Folder-group-v10890","TRV","ResourcePool-resgroup-1667","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/10240","v9","5010fbfe-f306-e3ad-0843-746f93be6a04","windows7Server64Guest","44.314440635032951831817626953","44.314441201277077198028564453","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-10898","/VIServer=ghfinancials\j.fox@lcy-vcenter:443/VirtualMachine=VirtualMachine-vm-10898/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"lcy-trvstim","PoweredOn","","lcy-trvstim:Microsoft Windows Server 2012 (64-bit)","4","4","8192","8","HostSystem-host-129666","lcy-esx06.corp.hertshtengroup.com",,"Folder-group-v10890","TRV","ResourcePool-resgroup-1667","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/81920","v9","501021dd-44d4-95b1-4a5d-cd751a99c8c8","windows8Server64Guest","58.164316259324550628662109375","58.164316830225288867950439453","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-88564","/VIServer=ghfinancials\j.fox@lcy-vcenter:443/VirtualMachine=VirtualMachine-vm-88564/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"lcy-trvstsg","PoweredOn",,"lcy-trvstsg:Microsoft Windows Server 2008 R2 (64-bit)","1","1","4096","4","HostSystem-host-129666","lcy-esx06.corp.hertshtengroup.com",,"Folder-group-v10890","TRV","ResourcePool-resgroup-1667","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/10240","v9","5010679b-4343-dc8e-b5e7-614fe01f6bb1","windows7Server64Guest","44.184446534141898155212402344","44.184447104111313819885253906","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-49389","/VIServer=ghfinancials\j.fox@lcy-vcenter:443/VirtualMachine=VirtualMachine-vm-49389/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"lcy-trvtools","PoweredOn",,"lcy-trvtools:Microsoft Windows Server 2012 (64-bit)","2","1","8192","8","HostSystem-host-129682","lcy-esx02.corp.hertshtengroup.com",,"Folder-group-v10890","TRV","ResourcePool-resgroup-1667","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/81920","v8","5010517d-30bf-de2d-529c-b33b5b8fbbcb","windows8Server64Guest","108.164504468441009521484375","108.16450504213571548461914062","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-124754","/VIServer=ghfinancials\j.fox@lcy-vcenter:443/VirtualMachine=VirtualMachine-vm-124754/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"lcy-trvtt","PoweredOff",,"lcy-trvtt:Microsoft Windows Server 2008 R2 (64-bit)","1","1","4096","4","HostSystem-host-129669","lcy-esx03.corp.hertshtengroup.com",,"Folder-group-v10890","TRV","ResourcePool-resgroup-1667","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/10240","v9","50107705-733d-544d-2534-18f0bd7c798b","windows7Server64Guest","40.482829559594392776489257812","44.661674577742815017700195312","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-10899","/VIServer=ghfinancials\j.fox@lcy-vcenter:443/VirtualMachine=VirtualMachine-vm-10899/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"lcy-trvttnet2","PoweredOn","","lcy-trvttnet2:Microsoft Windows Server 2008 R2 (64-bit)","1","1","4096","4","HostSystem-host-129686","lcy-esx04.corp.hertshtengroup.com",,"Folder-group-v10890","TRV","ResourcePool-resgroup-1667","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/10240","v9","5010629a-9bec-9cf7-b935-0f5c29dd5505","windows7Server64Guest","84.10431487672030925750732422","84.18244047649204730987548828","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-82822","/VIServer=ghfinancials\j.fox@lcy-vcenter:443/VirtualMachine=VirtualMachine-vm-82822/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"lcy-trvttng","PoweredOn","","lcy-trvttng:Microsoft Windows Server 2012 (64-bit)","4","4","8192","8","HostSystem-host-129689","lcy-esx01.corp.hertshtengroup.com",,"Folder-group-v10890","TRV","ResourcePool-resgroup-1667","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/81920","v8","501048fd-b45f-cec4-818a-39df8b918ed3","windows8Server64Guest","58.164928962476551532745361328","58.164929533377289772033691406","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-117423","/VIServer=ghfinancials\j.fox@lcy-vcenter:443/VirtualMachine=VirtualMachine-vm-117423/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
